year,fuel,energy_[pj],category,state
1988,brown_coal [pj],474.8,consumption_of_fuels,Australia
1989,brown_coal [pj],450.7,consumption_of_fuels,Australia
1990,brown_coal [pj],484.1,consumption_of_fuels,Australia
1991,brown_coal [pj],497.3,consumption_of_fuels,Australia
1992,brown_coal [pj],466.8,consumption_of_fuels,Australia
1993,brown_coal [pj],474.3,consumption_of_fuels,Australia
1994,brown_coal [pj],492.0,consumption_of_fuels,Australia
1995,brown_coal [pj],514.4,consumption_of_fuels,Australia
1996,brown_coal [pj],559.1,consumption_of_fuels,Australia
1997,brown_coal [pj],636.5,consumption_of_fuels,Australia
1998,brown_coal [pj],669.1,consumption_of_fuels,Australia
1999,brown_coal [pj],672.5,consumption_of_fuels,Australia
2000,brown_coal [pj],666.0,consumption_of_fuels,Australia
2001,brown_coal [pj],673.4,consumption_of_fuels,Australia
2002,brown_coal [pj],699.079,consumption_of_fuels,Australia
2003,brown_coal [pj],714.553,consumption_of_fuels,Australia
2004,brown_coal [pj],711.74,consumption_of_fuels,Australia
2005,brown_coal [pj],725.144,consumption_of_fuels,Australia
2006,brown_coal [pj],721.921,consumption_of_fuels,Australia
2007,brown_coal [pj],725.057,consumption_of_fuels,Australia
2008,brown_coal [pj],749.738,consumption_of_fuels,Australia
2009,brown_coal [pj],741.962,consumption_of_fuels,Australia
2010,brown_coal [pj],728.16,consumption_of_fuels,Australia
2011,brown_coal [pj],739.296,consumption_of_fuels,Australia
2012,brown_coal [pj],645.702,consumption_of_fuels,Australia
2013,brown_coal [pj],627.783,consumption_of_fuels,Australia
2014,brown_coal [pj],669.114,consumption_of_fuels,Australia
2015,brown_coal [pj],642.892,consumption_of_fuels,Australia
2016,brown_coal [pj],576.289,consumption_of_fuels,Australia
2017,brown_coal [pj],466.835,consumption_of_fuels,Australia
2018,brown_coal [pj],443.274,consumption_of_fuels,Australia
2019,brown_coal [pj],422.658,consumption_of_fuels,Australia
2020,brown_coal [pj],427.054,consumption_of_fuels,Australia
2021,brown_coal [pj],409.939,consumption_of_fuels,Australia
2022,brown_coal [pj],397.445,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
,brown_coal [pj],,consumption_of_fuels,Australia
1960,coke [pj],,consumption_of_fuels,Australia
1961,coke [pj],,consumption_of_fuels,Australia
1962,coke [pj],,consumption_of_fuels,Australia
1963,coke [pj],,consumption_of_fuels,Australia
1964,coke [pj],,consumption_of_fuels,Australia
1965,coke [pj],,consumption_of_fuels,Australia
1966,coke [pj],,consumption_of_fuels,Australia
1967,coke [pj],,consumption_of_fuels,Australia
1968,coke [pj],,consumption_of_fuels,Australia
1969,coke [pj],,consumption_of_fuels,Australia
1970,coke [pj],,consumption_of_fuels,Australia
1971,coke [pj],,consumption_of_fuels,Australia
1972,coke [pj],,consumption_of_fuels,Australia
1973,coke [pj],139.8,consumption_of_fuels,Australia
1974,coke [pj],149.0,consumption_of_fuels,Australia
1975,coke [pj],135.6,consumption_of_fuels,Australia
1976,coke [pj],132.9,consumption_of_fuels,Australia
1977,coke [pj],130.3,consumption_of_fuels,Australia
1978,coke [pj],142.1,consumption_of_fuels,Australia
1979,coke [pj],137.2,consumption_of_fuels,Australia
1980,coke [pj],116.4,consumption_of_fuels,Australia
1981,coke [pj],125.1,consumption_of_fuels,Australia
1982,coke [pj],96.9,consumption_of_fuels,Australia
1983,coke [pj],95.4,consumption_of_fuels,Australia
1984,coke [pj],95.0,consumption_of_fuels,Australia
1985,coke [pj],89.5,consumption_of_fuels,Australia
1986,coke [pj],86.4,consumption_of_fuels,Australia
1987,coke [pj],82.6,consumption_of_fuels,Australia
1988,coke [pj],86.3,consumption_of_fuels,Australia
1989,coke [pj],114.7,consumption_of_fuels,Australia
1990,coke [pj],113.9,consumption_of_fuels,Australia
1991,coke [pj],93.4,consumption_of_fuels,Australia
1992,coke [pj],91.3,consumption_of_fuels,Australia
1993,coke [pj],99.6,consumption_of_fuels,Australia
1994,coke [pj],102.8,consumption_of_fuels,Australia
1995,coke [pj],102.8,consumption_of_fuels,Australia
1996,coke [pj],102.3,consumption_of_fuels,Australia
1997,coke [pj],97.8,consumption_of_fuels,Australia
1998,coke [pj],106.9,consumption_of_fuels,Australia
1999,coke [pj],98.8,consumption_of_fuels,Australia
2000,coke [pj],83.9,consumption_of_fuels,Australia
2001,coke [pj],81.7,consumption_of_fuels,Australia
2002,coke [pj],71.2,consumption_of_fuels,Australia
2003,coke [pj],76.666,consumption_of_fuels,Australia
2004,coke [pj],73.694,consumption_of_fuels,Australia
2005,coke [pj],72.623,consumption_of_fuels,Australia
2006,coke [pj],73.32,consumption_of_fuels,Australia
2007,coke [pj],74.569,consumption_of_fuels,Australia
2008,coke [pj],63.827,consumption_of_fuels,Australia
2009,coke [pj],75.632,consumption_of_fuels,Australia
2010,coke [pj],78.969,consumption_of_fuels,Australia
2011,coke [pj],58.82,consumption_of_fuels,Australia
2012,coke [pj],56.819,consumption_of_fuels,Australia
2013,coke [pj],55.44,consumption_of_fuels,Australia
2014,coke [pj],56.955,consumption_of_fuels,Australia
2015,coke [pj],57.673,consumption_of_fuels,Australia
2016,coke [pj],58.278,consumption_of_fuels,Australia
2017,coke [pj],58.941,consumption_of_fuels,Australia
2018,coke [pj],57.007,consumption_of_fuels,Australia
2019,coke [pj],55.689,consumption_of_fuels,Australia
2020,coke [pj],55.727,consumption_of_fuels,Australia
2021,coke [pj],56.975,consumption_of_fuels,Australia
2022,coke [pj],54.727,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
,coke [pj],,consumption_of_fuels,Australia
1960,coal_by_products [pj],,consumption_of_fuels,Australia
1961,coal_by_products [pj],,consumption_of_fuels,Australia
1962,coal_by_products [pj],,consumption_of_fuels,Australia
1963,coal_by_products [pj],,consumption_of_fuels,Australia
1964,coal_by_products [pj],,consumption_of_fuels,Australia
1965,coal_by_products [pj],,consumption_of_fuels,Australia
1966,coal_by_products [pj],,consumption_of_fuels,Australia
1967,coal_by_products [pj],,consumption_of_fuels,Australia
1968,coal_by_products [pj],,consumption_of_fuels,Australia
1969,coal_by_products [pj],,consumption_of_fuels,Australia
1970,coal_by_products [pj],,consumption_of_fuels,Australia
1971,coal_by_products [pj],,consumption_of_fuels,Australia
1972,coal_by_products [pj],,consumption_of_fuels,Australia
1973,coal_by_products [pj],128.9,consumption_of_fuels,Australia
1974,coal_by_products [pj],131.3,consumption_of_fuels,Australia
1975,coal_by_products [pj],123.4,consumption_of_fuels,Australia
1976,coal_by_products [pj],118.7,consumption_of_fuels,Australia
1977,coal_by_products [pj],116.4,consumption_of_fuels,Australia
1978,coal_by_products [pj],126.4,consumption_of_fuels,Australia
1979,coal_by_products [pj],118.0,consumption_of_fuels,Australia
1980,coal_by_products [pj],114.7,consumption_of_fuels,Australia
1981,coal_by_products [pj],107.8,consumption_of_fuels,Australia
1982,coal_by_products [pj],85.0,consumption_of_fuels,Australia
1983,coal_by_products [pj],84.2,consumption_of_fuels,Australia
1984,coal_by_products [pj],83.1,consumption_of_fuels,Australia
1985,coal_by_products [pj],85.2,consumption_of_fuels,Australia
1986,coal_by_products [pj],85.8,consumption_of_fuels,Australia
1987,coal_by_products [pj],89.0,consumption_of_fuels,Australia
1988,coal_by_products [pj],93.2,consumption_of_fuels,Australia
1989,coal_by_products [pj],91.6,consumption_of_fuels,Australia
1990,coal_by_products [pj],87.5,consumption_of_fuels,Australia
1991,coal_by_products [pj],89.4,consumption_of_fuels,Australia
1992,coal_by_products [pj],88.4,consumption_of_fuels,Australia
1993,coal_by_products [pj],91.2,consumption_of_fuels,Australia
1994,coal_by_products [pj],93.6,consumption_of_fuels,Australia
1995,coal_by_products [pj],90.3,consumption_of_fuels,Australia
1996,coal_by_products [pj],93.0,consumption_of_fuels,Australia
1997,coal_by_products [pj],94.0,consumption_of_fuels,Australia
1998,coal_by_products [pj],89.8,consumption_of_fuels,Australia
1999,coal_by_products [pj],80.0,consumption_of_fuels,Australia
2000,coal_by_products [pj],77.6,consumption_of_fuels,Australia
2001,coal_by_products [pj],76.8,consumption_of_fuels,Australia
2002,coal_by_products [pj],86.263,consumption_of_fuels,Australia
2003,coal_by_products [pj],83.066,consumption_of_fuels,Australia
2004,coal_by_products [pj],81.913,consumption_of_fuels,Australia
2005,coal_by_products [pj],83.174,consumption_of_fuels,Australia
2006,coal_by_products [pj],80.249,consumption_of_fuels,Australia
2007,coal_by_products [pj],80.908,consumption_of_fuels,Australia
2008,coal_by_products [pj],61.777,consumption_of_fuels,Australia
2009,coal_by_products [pj],72.023,consumption_of_fuels,Australia
2010,coal_by_products [pj],74.974,consumption_of_fuels,Australia
2011,coal_by_products [pj],60.038,consumption_of_fuels,Australia
2012,coal_by_products [pj],52.728,consumption_of_fuels,Australia
2013,coal_by_products [pj],50.06,consumption_of_fuels,Australia
2014,coal_by_products [pj],45.811,consumption_of_fuels,Australia
2015,coal_by_products [pj],45.723,consumption_of_fuels,Australia
2016,coal_by_products [pj],46.484,consumption_of_fuels,Australia
2017,coal_by_products [pj],44.646,consumption_of_fuels,Australia
2018,coal_by_products [pj],42.209,consumption_of_fuels,Australia
2019,coal_by_products [pj],43.038,consumption_of_fuels,Australia
2020,coal_by_products [pj],43.121,consumption_of_fuels,Australia
2021,coal_by_products [pj],41.862,consumption_of_fuels,Australia
2022,coal_by_products [pj],40.346,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
,coal_by_products [pj],,consumption_of_fuels,Australia
1960,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1961,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1962,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1963,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1964,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1965,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1966,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1967,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1968,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1969,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1970,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1971,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1972,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1973,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1974,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1975,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1976,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1977,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1978,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1979,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1980,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1981,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1982,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1983,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1984,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1985,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1986,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1987,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1988,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1989,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1990,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1991,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1992,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1993,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1994,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1995,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1996,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1997,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1998,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1999,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
2000,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
2001,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
2002,liquid_gas_biofuels [pj],11.164,consumption_of_fuels,Australia
2003,liquid_gas_biofuels [pj],10.565,consumption_of_fuels,Australia
2004,liquid_gas_biofuels [pj],9.193,consumption_of_fuels,Australia
2005,liquid_gas_biofuels [pj],9.896,consumption_of_fuels,Australia
2006,liquid_gas_biofuels [pj],10.716,consumption_of_fuels,Australia
2007,liquid_gas_biofuels [pj],15.194,consumption_of_fuels,Australia
2008,liquid_gas_biofuels [pj],19.696,consumption_of_fuels,Australia
2009,liquid_gas_biofuels [pj],22.456,consumption_of_fuels,Australia
2010,liquid_gas_biofuels [pj],26.571,consumption_of_fuels,Australia
2011,liquid_gas_biofuels [pj],27.855,consumption_of_fuels,Australia
2012,liquid_gas_biofuels [pj],26.219,consumption_of_fuels,Australia
2013,liquid_gas_biofuels [pj],28.995,consumption_of_fuels,Australia
2014,liquid_gas_biofuels [pj],27.831,consumption_of_fuels,Australia
2015,liquid_gas_biofuels [pj],23.012,consumption_of_fuels,Australia
2016,liquid_gas_biofuels [pj],22.103,consumption_of_fuels,Australia
2017,liquid_gas_biofuels [pj],23.279,consumption_of_fuels,Australia
2018,liquid_gas_biofuels [pj],23.723,consumption_of_fuels,Australia
2019,liquid_gas_biofuels [pj],23.284,consumption_of_fuels,Australia
2020,liquid_gas_biofuels [pj],23.851,consumption_of_fuels,Australia
2021,liquid_gas_biofuels [pj],24.599,consumption_of_fuels,Australia
2022,liquid_gas_biofuels [pj],24.189,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
,liquid_gas_biofuels [pj],,consumption_of_fuels,Australia
1960,wood_woodwaste [pj],145.3,consumption_of_fuels,Australia
1961,wood_woodwaste [pj],139.6,consumption_of_fuels,Australia
1962,wood_woodwaste [pj],134.3,consumption_of_fuels,Australia
1963,wood_woodwaste [pj],129.4,consumption_of_fuels,Australia
1964,wood_woodwaste [pj],124.2,consumption_of_fuels,Australia
1965,wood_woodwaste [pj],119.7,consumption_of_fuels,Australia
1966,wood_woodwaste [pj],115.2,consumption_of_fuels,Australia
1967,wood_woodwaste [pj],111.0,consumption_of_fuels,Australia
1968,wood_woodwaste [pj],106.6,consumption_of_fuels,Australia
1969,wood_woodwaste [pj],102.6,consumption_of_fuels,Australia
1970,wood_woodwaste [pj],98.9,consumption_of_fuels,Australia
1971,wood_woodwaste [pj],95.7,consumption_of_fuels,Australia
1972,wood_woodwaste [pj],92.3,consumption_of_fuels,Australia
1973,wood_woodwaste [pj],92.5,consumption_of_fuels,Australia
1974,wood_woodwaste [pj],89.9,consumption_of_fuels,Australia
1975,wood_woodwaste [pj],87.4,consumption_of_fuels,Australia
1976,wood_woodwaste [pj],81.9,consumption_of_fuels,Australia
1977,wood_woodwaste [pj],80.9,consumption_of_fuels,Australia
1978,wood_woodwaste [pj],82.0,consumption_of_fuels,Australia
1979,wood_woodwaste [pj],83.6,consumption_of_fuels,Australia
1980,wood_woodwaste [pj],84.1,consumption_of_fuels,Australia
1981,wood_woodwaste [pj],84.1,consumption_of_fuels,Australia
1982,wood_woodwaste [pj],85.1,consumption_of_fuels,Australia
1983,wood_woodwaste [pj],85.4,consumption_of_fuels,Australia
1984,wood_woodwaste [pj],86.1,consumption_of_fuels,Australia
1985,wood_woodwaste [pj],87.6,consumption_of_fuels,Australia
1986,wood_woodwaste [pj],88.7,consumption_of_fuels,Australia
1987,wood_woodwaste [pj],90.6,consumption_of_fuels,Australia
1988,wood_woodwaste [pj],93.9,consumption_of_fuels,Australia
1989,wood_woodwaste [pj],97.9,consumption_of_fuels,Australia
1990,wood_woodwaste [pj],100.1,consumption_of_fuels,Australia
1991,wood_woodwaste [pj],101.6,consumption_of_fuels,Australia
1992,wood_woodwaste [pj],104.8,consumption_of_fuels,Australia
1993,wood_woodwaste [pj],108.2,consumption_of_fuels,Australia
1994,wood_woodwaste [pj],108.9,consumption_of_fuels,Australia
1995,wood_woodwaste [pj],109.1,consumption_of_fuels,Australia
1996,wood_woodwaste [pj],109.9,consumption_of_fuels,Australia
1997,wood_woodwaste [pj],109.0,consumption_of_fuels,Australia
1998,wood_woodwaste [pj],109.1,consumption_of_fuels,Australia
1999,wood_woodwaste [pj],108.2,consumption_of_fuels,Australia
2000,wood_woodwaste [pj],109.4,consumption_of_fuels,Australia
2001,wood_woodwaste [pj],95.0,consumption_of_fuels,Australia
2002,wood_woodwaste [pj],105.353,consumption_of_fuels,Australia
2003,wood_woodwaste [pj],103.233,consumption_of_fuels,Australia
2004,wood_woodwaste [pj],100.42,consumption_of_fuels,Australia
2005,wood_woodwaste [pj],98.91,consumption_of_fuels,Australia
2006,wood_woodwaste [pj],98.698,consumption_of_fuels,Australia
2007,wood_woodwaste [pj],98.748,consumption_of_fuels,Australia
2008,wood_woodwaste [pj],89.508,consumption_of_fuels,Australia
2009,wood_woodwaste [pj],87.864,consumption_of_fuels,Australia
2010,wood_woodwaste [pj],85.088,consumption_of_fuels,Australia
2011,wood_woodwaste [pj],83.736,consumption_of_fuels,Australia
2012,wood_woodwaste [pj],91.124,consumption_of_fuels,Australia
2013,wood_woodwaste [pj],92.671,consumption_of_fuels,Australia
2014,wood_woodwaste [pj],92.511,consumption_of_fuels,Australia
2015,wood_woodwaste [pj],96.401,consumption_of_fuels,Australia
2016,wood_woodwaste [pj],97.877,consumption_of_fuels,Australia
2017,wood_woodwaste [pj],94.202,consumption_of_fuels,Australia
2018,wood_woodwaste [pj],92.843,consumption_of_fuels,Australia
2019,wood_woodwaste [pj],89.494,consumption_of_fuels,Australia
2020,wood_woodwaste [pj],90.303,consumption_of_fuels,Australia
2021,wood_woodwaste [pj],90.879,consumption_of_fuels,Australia
2022,wood_woodwaste [pj],89.548,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
,wood_woodwaste [pj],,consumption_of_fuels,Australia
1960,bagasse [pj],27.1,consumption_of_fuels,Australia
1961,bagasse [pj],28.2,consumption_of_fuels,Australia
1962,bagasse [pj],36.5,consumption_of_fuels,Australia
1963,bagasse [pj],34.8,consumption_of_fuels,Australia
1964,bagasse [pj],44.1,consumption_of_fuels,Australia
1965,bagasse [pj],41.4,consumption_of_fuels,Australia
1966,bagasse [pj],49.4,consumption_of_fuels,Australia
1967,bagasse [pj],49.4,consumption_of_fuels,Australia
1968,bagasse [pj],53.3,consumption_of_fuels,Australia
1969,bagasse [pj],45.7,consumption_of_fuels,Australia
1970,bagasse [pj],50.2,consumption_of_fuels,Australia
1971,bagasse [pj],56.1,consumption_of_fuels,Australia
1972,bagasse [pj],55.5,consumption_of_fuels,Australia
1973,bagasse [pj],56.4,consumption_of_fuels,Australia
1974,bagasse [pj],59.7,consumption_of_fuels,Australia
1975,bagasse [pj],63.0,consumption_of_fuels,Australia
1976,bagasse [pj],68.2,consumption_of_fuels,Australia
1977,bagasse [pj],68.3,consumption_of_fuels,Australia
1978,bagasse [pj],59.9,consumption_of_fuels,Australia
1979,bagasse [pj],60.4,consumption_of_fuels,Australia
1980,bagasse [pj],68.5,consumption_of_fuels,Australia
1981,bagasse [pj],74.1,consumption_of_fuels,Australia
1982,bagasse [pj],71.9,consumption_of_fuels,Australia
1983,bagasse [pj],69.1,consumption_of_fuels,Australia
1984,bagasse [pj],72.9,consumption_of_fuels,Australia
1985,bagasse [pj],71.4,consumption_of_fuels,Australia
1986,bagasse [pj],73.4,consumption_of_fuels,Australia
1987,bagasse [pj],73.9,consumption_of_fuels,Australia
1988,bagasse [pj],80.7,consumption_of_fuels,Australia
1989,bagasse [pj],81.5,consumption_of_fuels,Australia
1990,bagasse [pj],78.2,consumption_of_fuels,Australia
1991,bagasse [pj],63.5,consumption_of_fuels,Australia
1992,bagasse [pj],78.0,consumption_of_fuels,Australia
1993,bagasse [pj],84.2,consumption_of_fuels,Australia
1994,bagasse [pj],91.4,consumption_of_fuels,Australia
1995,bagasse [pj],101.5,consumption_of_fuels,Australia
1996,bagasse [pj],109.5,consumption_of_fuels,Australia
1997,bagasse [pj],112.6,consumption_of_fuels,Australia
1998,bagasse [pj],109.6,consumption_of_fuels,Australia
1999,bagasse [pj],105.7,consumption_of_fuels,Australia
2000,bagasse [pj],98.5,consumption_of_fuels,Australia
2001,bagasse [pj],91.7,consumption_of_fuels,Australia
2002,bagasse [pj],95.117,consumption_of_fuels,Australia
2003,bagasse [pj],101.107,consumption_of_fuels,Australia
2004,bagasse [pj],108.308,consumption_of_fuels,Australia
