fuel,year,consumption,unit
Solar PV,2019,75.719,PJ
Solar hot water,2019,18.454,PJ
Total,2019,418.758,PJ
Notes:,2019,,PJ
Totals may not add due to rounding,2019,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2019,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2019,,PJ
Biomass,2020,173.636,PJ
wood and other b,2020,85.668,PJ
bagasse,2020,87.968,PJ
Municpal and industrial waste,2020,4.635,PJ
Biogas,2020,17.601,PJ
landfill gas,2020,13.159,PJ
other biogas,2020,4.442,PJ
Biofuels,2020,6.25,PJ
ethanol,2020,4.889,PJ
biodiesel,2020,0.119,PJ
other liquid biofuels,2020,1.243,PJ
Wind power,2020,88.327,PJ
Hydro power,2020,54.719,PJ
Solar PV,2020,99.781,PJ
Solar hot water,2020,19.681,PJ
Total,2020,464.63,PJ
Notes:,2020,,PJ
Totals may not add due to rounding,2020,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2020,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2020,,PJ
Biomass,2021,170.641,PJ
wood and other b,2021,86.198,PJ
bagasse,2021,84.442,PJ
Municpal and industrial waste,2021,4.681,PJ
Biogas,2021,18.463,PJ
landfill gas,2021,13.852,PJ
other biogas,2021,4.611,PJ
Biofuels,2021,6.136,PJ
ethanol,2021,4.78,PJ
biodiesel,2021,0.158,PJ
other liquid biofuels,2021,1.198,PJ
Wind power,2021,104.788,PJ
Hydro power,2021,61.239,PJ
Solar PV,2021,124.872,PJ
Solar hot water,2021,21.328,PJ
Total,2021,512.147,PJ
Notes:,2021,,PJ
Totals may not add due to rounding,2021,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2021,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2021,,PJ
Biomass,2022,177.218,PJ
wood and other b,2022,84.945,PJ
bagasse,2022,92.273,PJ
Municpal and industrial waste,2022,4.604,PJ
Biogas,2022,18.025,PJ
landfill gas,2022,13.451,PJ
other biogas,2022,4.574,PJ
Biofuels,2022,6.164,PJ
ethanol,2022,4.953,PJ
biodiesel,2022,0.028,PJ
other liquid biofuels,2022,1.183,PJ
Wind power,2022,112.986,PJ
Hydro power,2022,59.998,PJ
Solar PV,2022,151.087,PJ
Solar hot water,2022,23.479,PJ
Total,2022,553.559,PJ
Notes:,2022,,PJ
Totals may not add due to rounding,2022,,PJ
a Renewable energy consumption includes inputs to electricity generation as well as direct use of renewable energy.,2022,,PJ
"b Includes wood waste, charcoal, sulphite lyes and other biomass.",2022,,PJ
