fuel_name,year,generation,unit,state,type
Brown coal,2011,55067.7,gwh,Australia,non-renewable
Natural gas,2011,48571.5,gwh,Australia,non-renewable
Oil products,2011,2702.5,gwh,Australia,non-renewable
Other a,2011,,gwh,Australia,non-renewable
,2011,,gwh,Australia,non-renewable
"Bagasse, wood",2011,1606.306,gwh,Australia,renewable
Biogas,2011,1437.441,gwh,Australia,renewable
Wind,2011,6969.82757713889,gwh,Australia,renewable
Hydro,2011,14083.3,gwh,Australia,renewable
Large-scale solar PV,2011,,gwh,Australia,renewable
Small-scale solar PV,2011,2558.6,gwh,Australia,renewable
Geothermal,2011,0.5,gwh,Australia,renewable
,2011,,gwh,Australia,renewable
,2011,,gwh,Australia,renewable
Black coal,2012,111491.1,gwh,Australia,non-renewable
Brown coal,2012,47555.1,gwh,Australia,non-renewable
Natural gas,2012,51053.4,gwh,Australia,non-renewable
Oil products,2012,4464.3,gwh,Australia,non-renewable
Other a,2012,,gwh,Australia,non-renewable
,2012,,gwh,Australia,non-renewable
"Bagasse, wood",2012,1714.34,gwh,Australia,renewable
Biogas,2012,1429.16,gwh,Australia,renewable
Wind,2012,7959.6,gwh,Australia,renewable
Hydro,2012,18269.6,gwh,Australia,renewable
Large-scale solar PV,2012,,gwh,Australia,renewable
Small-scale solar PV,2012,3826.2,gwh,Australia,renewable
Geothermal,2012,0.5,gwh,Australia,renewable
,2012,,gwh,Australia,renewable
,2012,,gwh,Australia,renewable
Black coal,2013,106965.495,gwh,Australia,non-renewable
Brown coal,2013,46076.2,gwh,Australia,non-renewable
Natural gas,2013,54393.9,gwh,Australia,non-renewable
Oil products,2013,5012.3,gwh,Australia,non-renewable
Other a,2013,,gwh,Australia,non-renewable
,2013,,gwh,Australia,non-renewable
"Bagasse, wood",2013,2053.487,gwh,Australia,renewable
Biogas,2013,1445.903,gwh,Australia,renewable
Wind,2013,10251.9391666667,gwh,Australia,renewable
Hydro,2013,18420.9,gwh,Australia,renewable
Large-scale solar PV,2013,49.678,gwh,Australia,renewable
Small-scale solar PV,2013,4366.277,gwh,Australia,renewable
Geothermal,2013,0.5,gwh,Australia,renewable
,2013,,gwh,Australia,renewable
,2013,,gwh,Australia,renewable
Black coal,2014,107639.4,gwh,Australia,non-renewable
Brown coal,2014,50970.4,gwh,Australia,non-renewable
Natural gas,2014,52916.912,gwh,Australia,non-renewable
Oil products,2014,6828.45,gwh,Australia,non-renewable
Other a,2014,,gwh,Australia,non-renewable
,2014,,gwh,Australia,non-renewable
"Bagasse, wood",2014,2353.376,gwh,Australia,renewable
Biogas,2014,1238.858,gwh,Australia,renewable
Wind,2014,11466.4852777778,gwh,Australia,renewable
Hydro,2014,13445.0,gwh,Australia,renewable
Large-scale solar PV,2014,107.221,gwh,Australia,renewable
Small-scale solar PV,2014,5424.113,gwh,Australia,renewable
Geothermal,2014,0.6,gwh,Australia,renewable
,2014,,gwh,Australia,renewable
,2014,,gwh,Australia,renewable
Black coal,2015,114263.032,gwh,Australia,non-renewable
Brown coal,2015,48827.807,gwh,Australia,non-renewable
Natural gas,2015,50536.079,gwh,Australia,non-renewable
Oil products,2015,5655.616,gwh,Australia,non-renewable
Other a,2015,,gwh,Australia,non-renewable
,2015,,gwh,Australia,non-renewable
"Bagasse, wood",2015,2493.407,gwh,Australia,renewable
Biogas,2015,1296.487,gwh,Australia,renewable
Wind,2015,12199.4978333333,gwh,Australia,renewable
Hydro,2015,15318.18,gwh,Australia,renewable
Large-scale solar PV,2015,457.212,gwh,Australia,renewable
Small-scale solar PV,2015,6381.049,gwh,Australia,renewable
Geothermal,2015,0.215,gwh,Australia,renewable
,2015,,gwh,Australia,renewable
,2015,,gwh,Australia,renewable
Black coal,2016,118235.95889157,gwh,Australia,non-renewable
Brown coal,2016,43594.097917674,gwh,Australia,non-renewable
Natural gas,2016,50459.7450137879,gwh,Australia,non-renewable
Oil products,2016,5272.58935239207,gwh,Australia,non-renewable
Other a,2016,,gwh,Australia,non-renewable
,2016,,gwh,Australia,non-renewable
"Bagasse, wood",2016,2251.59014693381,gwh,Australia,renewable
Biogas,2016,1248.9561219287,gwh,Australia,renewable
Wind,2016,12596.985355358,gwh,Australia,renewable
Hydro,2016,16284.886916788,gwh,Australia,renewable
Large-scale solar PV,2016,672.397,gwh,Australia,renewable
Small-scale solar PV,2016,7399.259,gwh,Australia,renewable
Geothermal,2016,0.501667068,gwh,Australia,renewable
,2016,,gwh,Australia,renewable
,2016,,gwh,Australia,renewable
Black coal,2017,121689.290480795,gwh,Australia,non-renewable
Brown coal,2017,36021.4269816678,gwh,Australia,non-renewable
Natural gas,2017,53881.6692045174,gwh,Australia,non-renewable
Oil products,2017,4820.87577929485,gwh,Australia,non-renewable
Other a,2017,,gwh,Australia,non-renewable
,2017,,gwh,Australia,non-renewable
"Bagasse, wood",2017,2258.89345878739,gwh,Australia,renewable
Biogas,2017,1258.79189180869,gwh,Australia,renewable
Wind,2017,15174.425,gwh,Australia,renewable
Hydro,2017,16020.7886111111,gwh,Australia,renewable
Large-scale solar PV,2017,1007.582,gwh,Australia,renewable
Small-scale solar PV,2017,8922.359,gwh,Australia,renewable
Geothermal,2017,,gwh,Australia,renewable
,2017,,gwh,Australia,renewable
,2017,,gwh,Australia,renewable
Black coal,2018,119809.515240676,gwh,Australia,non-renewable
Brown coal,2018,34495.2451952251,gwh,Australia,non-renewable
Natural gas,2018,52775.3986572715,gwh,Australia,non-renewable
Oil products,2018,4922.94472393913,gwh,Australia,non-renewable
Other a,2018,,gwh,Australia,non-renewable
,2018,,gwh,Australia,non-renewable
"Bagasse, wood",2018,2152.23689377181,gwh,Australia,renewable
Biogas,2018,1343.64432534141,gwh,Australia,renewable
Wind,2018,17711.9508333333,gwh,Australia,renewable
Hydro,2018,15967.2811111111,gwh,Australia,renewable
Large-scale solar PV,2018,3732.36,gwh,Australia,renewable
Small-scale solar PV,2018,11116.163,gwh,Australia,renewable
Geothermal,2018,,gwh,Australia,renewable
,2018,,gwh,Australia,renewable
,2018,,gwh,Australia,renewable
Black coal,2019,111860.822450544,gwh,Australia,non-renewable
Brown coal,2019,33661.5497687206,gwh,Australia,non-renewable
Natural gas,2019,55216.2839805099,gwh,Australia,non-renewable
Oil products,2019,4509.19344159899,gwh,Australia,non-renewable
Other a,2019,,gwh,Australia,non-renewable
,2019,,gwh,Australia,non-renewable
"Bagasse, wood",2019,1989.76413290079,gwh,Australia,renewable
Biogas,2019,1361.86578764367,gwh,Australia,renewable
Wind,2019,20395.884545815,gwh,Australia,renewable
Hydro,2019,15149.6333333333,gwh,Australia,renewable
Large-scale solar PV,2019,7136.10667443254,gwh,Australia,renewable
Small-scale solar PV,2019,13897.087568744,gwh,Australia,renewable
Geothermal,2019,,gwh,Australia,renewable
,2019,,gwh,Australia,renewable
,2019,,gwh,Australia,renewable
Black coal,2020,106251.414131855,gwh,Australia,non-renewable
Brown coal,2020,34060.0283015955,gwh,Australia,non-renewable
Natural gas,2020,49782.9295977182,gwh,Australia,non-renewable
Oil products,2020,4661.88649098724,gwh,Australia,non-renewable
Other a,2020,,gwh,Australia,non-renewable
,2020,,gwh,Australia,non-renewable
"Bagasse, wood",2020,1992.1698549845,gwh,Australia,renewable
Biogas,2020,1354.01174897213,gwh,Australia,renewable
Wind,2020,24535.3686126261,gwh,Australia,renewable
Hydro,2020,15199.6883333333,gwh,Australia,renewable
Large-scale solar PV,2020,9637.88730556,gwh,Australia,renewable
Small-scale solar PV,2020,18079.0642408309,gwh,Australia,renewable
Geothermal,2020,,gwh,Australia,renewable
,2020,,gwh,Australia,renewable
,2020,,gwh,Australia,renewable
Black coal,2021,101076.157758683,gwh,Australia,non-renewable
Brown coal,2021,32515.6361645891,gwh,Australia,non-renewable
Natural gas,2021,49280.2250502806,gwh,Australia,non-renewable
Oil products,2021,4663.99625597343,gwh,Australia,non-renewable
Other a,2021,,gwh,Australia,non-renewable
,2021,,gwh,Australia,non-renewable
"Bagasse, wood",2021,1817.45111983572,gwh,Australia,renewable
Biogas,2021,1372.80634683452,gwh,Australia,renewable
Wind,2021,29107.7934808889,gwh,Australia,renewable
Hydro,2021,17010.8905555556,gwh,Australia,renewable
Large-scale solar PV,2021,12569.1755555019,gwh,Australia,renewable
Small-scale solar PV,2021,22117.4504926296,gwh,Australia,renewable
Geothermal,2021,,gwh,Australia,renewable
,2021,,gwh,Australia,renewable
,2021,,gwh,Australia,renewable
Black coal,2022,96173.8581937177,gwh,Australia,non-renewable
Brown coal,2022,31459.1255233818,gwh,Australia,non-renewable
Natural gas,2022,48865.2373807048,gwh,Australia,non-renewable
Oil products,2022,4864.397148328644,gwh,Australia,non-renewable
Other a,2022,,gwh,Australia,non-renewable
,2022,,gwh,Australia,non-renewable
"Bagasse, wood",2022,1687.71966835108,gwh,Australia,renewable
Biogas,2022,1405.0737606722,gwh,Australia,renewable
Wind,2022,31384.8738888889,gwh,Australia,renewable
Hydro,2022,16666.0544444444,gwh,Australia,renewable
Large-scale solar PV,2022,16059.8195145678,gwh,Australia,renewable
Small-scale solar PV,2022,25908.682159,gwh,Australia,renewable
Geothermal,2022,,gwh,Australia,renewable
,2022,,gwh,Australia,renewable
,2022,,gwh,Australia,renewable
Black coal,2008,67650.3,gwh,New South Wales,non-renewable
Brown coal,2008,,gwh,New South Wales,non-renewable
Natural gas,2008,2445.1,gwh,New South Wales,non-renewable
Oil products,2008,24.7,gwh,New South Wales,non-renewable
Other a,2008,,gwh,New South Wales,non-renewable
,2008,,gwh,New South Wales,non-renewable
"Bagasse, wood",2008,291.3,gwh,New South Wales,renewable
Biogas,2008,383.4,gwh,New South Wales,renewable
Wind,2008,41.3,gwh,New South Wales,renewable
Hydro,2008,1496.977,gwh,New South Wales,renewable
Large-scale solar PV,2008,,gwh,New South Wales,renewable
Small-scale solar PV,2008,36.3,gwh,New South Wales,renewable
Geothermal,2008,,gwh,New South Wales,renewable
 Of which ACT,2008,,gwh,New South Wales,renewable
,2008,,gwh,New South Wales,renewable
Black coal,2009,64398.6,gwh,New South Wales,non-renewable
Brown coal,2009,,gwh,New South Wales,non-renewable
Natural gas,2009,4681.3,gwh,New South Wales,non-renewable
Oil products,2009,5.6,gwh,New South Wales,non-renewable
Other a,2009,,gwh,New South Wales,non-renewable
,2009,,gwh,New South Wales,non-renewable
"Bagasse, wood",2009,295.3,gwh,New South Wales,renewable
Biogas,2009,385.8,gwh,New South Wales,renewable
Wind,2009,432.5,gwh,New South Wales,renewable
Hydro,2009,2689.526,gwh,New South Wales,renewable
Large-scale solar PV,2009,,gwh,New South Wales,renewable
Small-scale solar PV,2009,119.2,gwh,New South Wales,renewable
Geothermal,2009,,gwh,New South Wales,renewable
 Of which ACT,2009,,gwh,New South Wales,renewable
,2009,,gwh,New South Wales,renewable
Black coal,2010,60732.2,gwh,New South Wales,non-renewable
Brown coal,2010,,gwh,New South Wales,non-renewable
Natural gas,2010,4742.7,gwh,New South Wales,non-renewable
Oil products,2010,61.4,gwh,New South Wales,non-renewable
Other a,2010,,gwh,New South Wales,non-renewable
,2010,,gwh,New South Wales,non-renewable
"Bagasse, wood",2010,253.3,gwh,New South Wales,renewable
Biogas,2010,360.0,gwh,New South Wales,renewable
Wind,2010,530.091471333333,gwh,New South Wales,renewable
Hydro,2010,2474.878,gwh,New South Wales,renewable
Large-scale solar PV,2010,,gwh,New South Wales,renewable
Small-scale solar PV,2010,526.3,gwh,New South Wales,renewable
Geothermal,2010,,gwh,New South Wales,renewable
 Of which ACT,2010,,gwh,New South Wales,renewable
,2010,,gwh,New South Wales,renewable
Black coal,2011,60453.7,gwh,New South Wales,non-renewable
Brown coal,2011,,gwh,New South Wales,non-renewable
Natural gas,2011,4212.1,gwh,New South Wales,non-renewable
