sector,year,consumption,unit
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2014,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2014,,PJ
Agriculture,2015,0,PJ
Mining,2015,0.191,PJ
Manufacturing,2015,124.4,PJ
Electricity generation a,2015,164.726,PJ
Construction,2015,0.001,PJ
Transport,2015,5.906,PJ
Gas supply,2015,0,PJ
Water and waste b,2015,0.485,PJ
Commercial and services c,2015,0.794,PJ
Residential,2015,63.682,PJ
Total,2015,360.186,PJ
Notes:,2015,,PJ
Totals may not add due to rounding,2015,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2015,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2015,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2015,,PJ
Agriculture,2016,0,PJ
Mining,2016,0.162,PJ
Manufacturing,2016,134.607,PJ
Electricity generation a,2016,173.236,PJ
Construction,2016,0.01,PJ
Transport,2016,5.679,PJ
Gas supply,2016,0,PJ
Water and waste b,2016,0.573,PJ
Commercial and services c,2016,0.709,PJ
Residential,2016,64.1,PJ
Total,2016,379.076,PJ
Notes:,2016,,PJ
Totals may not add due to rounding,2016,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2016,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2016,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2016,,PJ
Agriculture,2017,0,PJ
Mining,2017,0.037,PJ
Manufacturing,2017,121.04,PJ
Electricity generation a,2017,189.567,PJ
Construction,2017,0.002,PJ
Transport,2017,6.151,PJ
Gas supply,2017,0,PJ
Water and waste b,2017,0.483,PJ
Commercial and services c,2017,0.736,PJ
Residential,2017,64.436,PJ
Total,2017,382.453,PJ
Notes:,2017,,PJ
Totals may not add due to rounding,2017,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2017,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2017,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2017,,PJ
Agriculture,2018,0,PJ
Mining,2018,0.037,PJ
Manufacturing,2018,113.27,PJ
Electricity generation a,2018,214.796,PJ
Construction,2018,0.006,PJ
Transport,2018,6.291,PJ
Gas supply,2018,0,PJ
Water and waste b,2018,0.437,PJ
Commercial and services c,2018,0.626,PJ
Residential,2018,64.731,PJ
Total,2018,400.194,PJ
Notes:,2018,,PJ
Totals may not add due to rounding,2018,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2018,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2018,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2018,,PJ
Agriculture,2019,0,PJ
Mining,2019,0.048,PJ
Manufacturing,2019,105.905,PJ
Electricity generation a,2019,241.208,PJ
Construction,2019,0.013,PJ
Transport,2019,5.537,PJ
Gas supply,2019,0,PJ
Water and waste b,2019,0.308,PJ
Commercial and services c,2019,0.61,PJ
Residential,2019,65.129,PJ
Total,2019,418.758,PJ
Notes:,2019,,PJ
Totals may not add due to rounding,2019,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2019,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2019,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2019,,PJ
Agriculture,2020,0,PJ
Mining,2020,0.053,PJ
Manufacturing,2020,110.623,PJ
Electricity generation a,2020,280.678,PJ
Construction,2020,0.006,PJ
Transport,2020,5.182,PJ
Gas supply,2020,0,PJ
Water and waste b,2020,0.785,PJ
Commercial and services c,2020,0.626,PJ
Residential,2020,66.677,PJ
Total,2020,464.63,PJ
Notes:,2020,,PJ
Totals may not add due to rounding,2020,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2020,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2020,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2020,,PJ
Agriculture,2021,0,PJ
Mining,2021,0.012,PJ
Manufacturing,2021,109.799,PJ
Electricity generation a,2021,327.612,PJ
Construction,2021,0.143,PJ
Transport,2021,4.956,PJ
Gas supply,2021,0,PJ
Water and waste b,2021,0.87,PJ
Commercial and services c,2021,0.741,PJ
Residential,2021,68.014,PJ
Total,2021,512.147,PJ
Notes:,2021,,PJ
Totals may not add due to rounding,2021,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2021,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2021,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2021,,PJ
Agriculture,2022,0,PJ
Mining,2022,0.022,PJ
Manufacturing,2022,115.536,PJ
Electricity generation a,2022,359.708,PJ
Construction,2022,0.028,PJ
Transport,2022,5.148,PJ
Gas supply,2022,0,PJ
Water and waste b,2022,0.808,PJ
Commercial and services c,2022,0.817,PJ
Residential,2022,71.493,PJ
Total,2022,553.559,PJ
Notes:,2022,,PJ
Totals may not add due to rounding,2022,,PJ
"a Includes consumption of non-thermal electricity inputs (hydro, wind and solar power) and combustion of renewable fuels to generate electricity",2022,,PJ
"b Includes the water supply, sewerage and drainage services industries, and the waste industry",2022,,PJ
"c Includes ANZSIC Divisions F, G, H, J, K, L, M, N, O, P, Q, R, S",2022,,PJ
